,Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap
209,EXPGY,EXPERIAN PLC S/ADR,OTCQX International Premier,28.51,-0.0701,324468,ADRs,Ireland,,
210,WMMVY,WAL-MART DE MEX V S/ADR,OTCQX International Premier,35.46,-1.963,99010,ADRs,Mexico,,
211,GBOOF,GRUPO FIN BANORTE  ORD,OTCQX International Premier,6.36,-0.7413,753,Foreign Ordinary Shares,Mexico,,
212,GBOOY,GRUPO FINC BANORTE S/ADR,OTCQX International Premier,31.95,-2.0239,11981,ADRs,Mexico,,
213,NHYDY,NORSK HYDRO A S ADS,OTCQX International Premier,5.31,-0.9328,212874,ADRs,Norway,,
214,NHYKF,NORSK HYDRO AS ORD,OTCQX International Premier,5.23,-3.1481,539,Foreign Ordinary Shares,Norway,,
215,IMPUF,IMPALA PLATINUM HLDGS LTD,OTCQX International Premier,8.87,-15.1196,100,Foreign Ordinary Shares,South Africa,,
216,IMPUY,IMPALA PLATINUM HLDGS ADR,OTCQX International Premier,8.77,-3.3076,110604,ADRs,South Africa,,
217,REPYF,REPSOL YPF SA ORD,OTCQX International Premier,11.4,,8700,Foreign Ordinary Shares,Spain,,
218,REPYY,REPSOL SA SP/ADR,OTCQX International Premier,10.79,-1.8198,173004,ADRs,Spain,,
219,RHHBF,ROCHE HOLDING LTD ORD,OTCQX International Premier,365.548,,159,Foreign Ordinary Shares,Switzerland,,
220,RHHBY,ROCHE HOLDING LTD S/ADR,OTCQX International Premier,38.69,-2.298,2678014,ADRs,Switzerland,,
221,RHHVF,ROCHE HOLDING DIV RTS,OTCQX International Premier,307.78,-6.7729,634,Rights,Switzerland,,
222,ZFSVF,ZURICH INS GROUP ORD,OTCQX International Premier,423.86,,0,Foreign Ordinary Shares,Switzerland,,
223,ZURVY,ZURICH INS GROUP S/ADR,OTCQX International Premier,40.21,-2.5685,225965,ADRs,Switzerland,,
224,ADRNY,KONINKLIJKE AD N.V. S/ADR,OTCQX International Premier,25.63,-1.2331,307386,ADRs,The Netherlands,,
225,AHODF,KONINKLIJKE AHOLD DEL ORD,OTCQX International Premier,26.1,,0,Foreign Ordinary Shares,The Netherlands,,
226,HEINY,HEINEKEN N V S/ADR,OTCQX International Premier,42.84,-0.2561,112938,ADRs,The Netherlands,,
227,HINKF,HEINEKEN N V REG,OTCQX International Premier,86.43952,,13,Foreign Ordinary Shares,The Netherlands,,
228,KDSKF,KONINKLIJKE DSM NV,OTCQX International Premier,108.5,2.0303,3676,Foreign Ordinary Shares,The Netherlands,,
229,RDSMY,ROYAL DSM NV S/ADR,OTCQX International Premier,27.12,-1.8813,163248,ADRs,The Netherlands,,
