Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap,SIC Code
SPRS,SURGE COMPONENTS INC,Pink Current,3.18,,0,Common Stock,USA,New York,"17,977,828","5065 - Electronic parts and equipment, misc"
FACO,FIRST ACCEPTANCE CORP,OTCQX U.S.,1.58,0.9585,101,Common Stock,USA,Tennessee,"59,635,029","6331 - Fire, marine, and casualty insurance"
PCYN,PROCYON CORP,Pink Current,0.3313,,0,Common Stock,USA,Florida,"2,679,352",.
QEPC,Q.E.P. CO INC,OTCQX U.S.,15.54,1.9016,2096,Common Stock,USA,Florida,"57,820,937","3420 - Cutlery, Handtools & General Hardware"
JFBC,JEFFERSONVILLE BANCORP,OTCQB,20.05,,4,Common Stock,USA,New York,"84,901,825",.
GRLF,GREEN LEAF INNOVATNS INC,Pink Current,0.0004,0.0,2880400,Common Stock,USA,Florida,"2,059,955",.
UNIB,UNIVERSITY BANCORP MICH,OTCQB,17.25,,0,Common Stock,USA,Michigan,"85,034,186",6712 - Bank holding companies
SPYR,SPYR INC,OTCQB,0.011,4.7619,309950,Common Stock,USA,Texas,"3,671,728",5810 - Retail-Eating & Drinking Places
AMTY,AMERITYRE CORP,OTCQB,0.056,12.0,20000,Common Stock,USA,Nevada,"6,063,029",3011 - Tires and inner tubes
IDND,INTL DISPENSING CORP,Pink Current,0.043,,0,Common Stock,USA,New York,"4,073,244",2650 - Paperboard Containers & Boxes
SEBC,SOESTRN BANKING CORP,Pink Current,22.0,,0,Common Stock,USA,Georgia,"69,319,316",6022 - State commercial banks
INBP,INTEGRATED BIOPHARMA INC,OTCQX U.S.,0.49301,,0,Common Stock,USA,New Jersey,"14,765,457",2834 - Pharmaceutical preparations
DPLS,DARKPULSE INC,Pink Current,0.0221,-2.2124,9984192,Common Stock,USA,New York,"135,148,437",7372 - Prepackaged software
SCBS,STHN COMMUTY BNCSHS INC,Pink Current,16.0,,0,Common Stock,USA,Alabama,"7,809,008",6035 - Federal savings institutions
MYMX,MYMETICS CORP,OTCQB,0.0378,11.1765,1000,Common Stock,USA,Washington,"11,482,038","2836 - Biological products, except diagnostic"
FNMA,FANNIE MAE,OTCQB,0.535,-0.4651,1574689,Common Stock,USA,Washington DC,"619,576,848",6111 - Federal and federally sponsored credit
WWRL,WORLD WIRELESS COMMUN INC,Pink Current,0.0298,,3,Common Stock,,,Not Available,Not Available
SPND,SPINDLETOP OIL&GAS CO,Pink Current,3.83,,0,Common Stock,USA,Texas,"25,853,718",1311 - Crude petroleum and natural gas
PCLB,PINNACLE BANCSHARES INC,Pink Current,28.73,-2.6102,5315,Common Stock,USA,Alabama,"26,130,912",6022 - State commercial banks
FMBM,F & M BANK CORP,OTCQX U.S. Premier,23.91,-0.3335,1885,Common Stock,USA,Virginia,"83,415,821",6022 - State commercial banks
DYNR,DYNARESOURCE INC,OTCQB,2.1425,,0,Common Stock,USA,Texas,"44,449,706",1000 - Metal Mining
HERF,RED OAK HEREFORD FARMS,Pink Current,0.0611,,0,Common Stock,USA,Nevada,"3,179,484",Not Available
WHLT,CHASE PACKAGING CORP TEX,Pink Current,0.061,,0,Common Stock,USA,New Jersey,"3,805,165",700 - Agricultural Services
CHBH,CROGHAN BANCSHARES INC,OTCQB,57.0,,0,Common Stock,USA,Ohio,"124,309,647",6022 - State commercial banks
